-3.3380,-5.5561,4.0
-3.3482,-5.6072,4.0
-3.3786,-5.6844,4.0
-3.4428,-5.7489,4.0
-3.4910,-5.8254,4.0
-3.5428,-5.9012,4.0
-3.6358,-5.9782,4.0
-3.7317,-6.0650,4.0
-3.8136,-6.1609,4.0
-3.8793,-6.2571,4.0
-3.9348,-6.3592,4.0
-3.9825,-6.4705,4.0
-4.0149,-6.6235,4.0
-4.0244,-6.7365,4.0
-4.0336,-6.8969,4.0
-4.0121,-7.0460,4.0
-3.9778,-7.1716,4.0
-3.9450,-7.2836,4.0
-3.8749,-7.4010,4.0
-3.7864,-7.5356,4.0
-3.6355,-7.6780,4.0
-3.4932,-7.7756,4.0
-3.3221,-7.8652,4.0
-3.1379,-7.9407,4.0
-2.9665,-7.9795,4.0
-2.7549,-8.0005,4.0
-2.5791,-7.9945,4.0
-2.4046,-7.9596,4.0
-2.1882,-7.8995,4.0
-2.0426,-7.8456,4.0
-1.8792,-7.7884,4.0
-1.7824,-7.7423,4.0
-1.6526,-7.6800,4.0
-1.5195,-7.5980,4.0
-1.3944,-7.5046,4.0
-1.2811,-7.4118,4.0
-1.0137,-7.2871,4.0
-0.8957,-7.2471,4.0
-0.7940,-7.2337,4.0
-0.6788,-7.2337,4.0
-0.5882,-7.2526,4.0
-0.4620,-7.3273,4.0
-0.1852,-7.4974,4.0
0.0470,-7.6145,4.0
0.2768,-7.7258,4.0
0.5346,-7.8238,4.0
0.7384,-7.8856,4.0
0.9279,-7.9146,4.0
1.2116,-7.9021,4.0
1.4913,-7.8404,4.0
1.7451,-7.7444,4.0
1.9490,-7.6304,4.0
2.1118,-7.4873,4.0
2.2693,-7.3070,4.0
2.4281,-7.0417,4.0
2.5195,-6.8197,4.0
2.5827,-6.5896,4.0
2.6068,-6.4049,4.0
2.5941,-6.2082,4.0
2.5604,-5.9445,4.0
2.4938,-5.7260,4.0
2.3813,-5.4999,4.0
2.2451,-5.3072,4.0
2.0897,-5.1391,4.0
1.9143,-4.9884,4.0
1.7415,-4.8744,4.0
1.5318,-4.7999,4.0
1.2368,-4.7310,4.0
0.9996,-4.7270,4.0
0.7148,-4.7421,4.0
0.4727,-4.7966,4.0
0.1989,-4.8554,4.0
-0.0001,-4.9022,4.0
-0.2375,-4.9342,4.0
-0.4275,-4.9277,4.0
-0.6596,-4.9113,4.0
-0.8506,-4.8706,4.0
-1.0038,-4.8040,4.0
-1.1779,-4.7840,4.0
-1.3529,-4.7903,4.0
-1.5361,-4.7992,4.0
-1.6306,-4.7845,4.0
-1.7724,-4.8165,4.0
-2.0098,-4.8706,4.0
-2.1812,-4.8717,4.0
-2.3061,-4.8780,4.0
-2.3993,-4.9007,4.0
-2.4474,-4.9179,4.0
-2.5189,-4.9425,4.0
-2.5686,-5.0161,4.0
-2.6060,-5.0635,4.0
-2.6608,-5.1279,4.0
-2.7183,-5.1871,4.0
-2.7800,-5.2419,4.0
-2.9012,-5.3088,4.0
-3.0242,-5.3867,4.0
-3.1126,-5.4679,4.0
-3.2721,-5.6247,4.0
-3.3843,-5.7708,4.0
-3.4733,-5.9176,4.0
-3.5573,-6.0585,4.0
-3.6145,-6.1886,4.0
-3.6608,-6.3, 4.0